Haus,hous
Himmel,sky
Sonne,sun
Auto,car
Labor,laboratory
Vogel,bird
Tastatur,keyboard
Wasser,water
Biologie,biology
Luft,air
Tier,animal
Deutschland,Germany
Licht,light
Protein,protein
Geld,money
Umfrage,survey
Zahl,number
Feuer,fire
Freundschaft,friendship
Liebe,love
Temperatur,temperature
Essen,food
Kaktus,cactus
Mensa,canteen
du,you
er,he
es,it
Papier,paper
Stein,stone
Polizei,police
Funktion,function
Addition,addition
Subtraktion,subtraction
Multiplikation,multiplication
Division,division
Buch,book
Rechner,calculator
Film,movie
Variable,variable
Regenbogen,rainbow
Nachtisch,dessert
Maus,mouse
Brief,letter
Bank,bank
Regierung,government
Geschichte,history
Schwert,sword
Wand,wall
Stuhl,chair
Tisch,desk
Bett,bed
Burg,castle
Flugzeug,airplane
Bahnhof,station
Zug,train
Auto,car
Kindergarten,kindergarten
Baum,tree
gelb,yellow
gefroren,frozen
Beine,legs
Arme,arms
Finger,fingers
Kopf,head
Jacke,jacket
Hose,trousers
Schuhe,shoes
Brille,glasses
Fisch,fish
Fleisch,meat
Ei,egg
Milch,milk
Allergie,allergy
Muskel,muscle
handlich,handy
